case,datetime,electricity [kWh]
Synthetic,2014-01-01T01:00:00Z,64.11
Synthetic,2014-01-01T02:00:00Z,64.88
Synthetic,2014-01-01T03:00:00Z,77.05
Synthetic,2014-01-01T04:00:00Z,67.35
Synthetic,2014-01-01T05:00:00Z,77.59
Synthetic,2014-01-01T06:00:00Z,68.29
Synthetic,2014-01-01T07:00:00Z,80.39
Synthetic,2014-01-01T08:00:00Z,57.27
Synthetic,2014-01-01T09:00:00Z,49.37
Synthetic,2014-01-01T10:00:00Z,36.51
Synthetic,2014-01-01T11:00:00Z,40.96
Synthetic,2014-01-01T12:00:00Z,34.54
Synthetic,2014-01-01T13:00:00Z,36.79
Synthetic,2014-01-01T14:00:00Z,31.33
Synthetic,2014-01-01T15:00:00Z,31.41
Synthetic,2014-01-01T16:00:00Z,27.66
Synthetic,2014-01-01T17:00:00Z,36.45
Synthetic,2014-01-01T18:00:00Z,46.82
Synthetic,2014-01-01T19:00:00Z,53.19
Synthetic,2014-01-01T20:00:00Z,50.84
Synthetic,2014-01-01T21:00:00Z,58.35
Synthetic,2014-01-01T22:00:00Z,54.37
Synthetic,2014-01-01T23:00:00Z,61.94
Synthetic,2014-01-02T00:00:00Z,56.45
Synthetic,2014-01-02T01:00:00Z,68.24
Synthetic,2014-01-02T02:00:00Z,62.02
Synthetic,2014-01-02T03:00:00Z,69.48
Synthetic,2014-01-02T04:00:00Z,62.89
Synthetic,2014-01-02T05:00:00Z,70.43
Synthetic,2014-01-02T06:00:00Z,66.03
Synthetic,2014-01-02T07:00:00Z,275.42
Synthetic,2014-01-02T08:00:00Z,229.48
Synthetic,2014-01-02T09:00:00Z,227.08
Synthetic,2014-01-02T10:00:00Z,196.56
Synthetic,2014-01-02T11:00:00Z,182.75
Synthetic,2014-01-02T12:00:00Z,175.13
Synthetic,2014-01-02T13:00:00Z,175.09
Synthetic,2014-01-02T14:00:00Z,163.97
Synthetic,2014-01-02T15:00:00Z,154.13
Synthetic,2014-01-02T16:00:00Z,151.07
Synthetic,2014-01-02T17:00:00Z,162.83
Synthetic,2014-01-02T18:00:00Z,174.48
Synthetic,2014-01-02T19:00:00Z,157.79
Synthetic,2014-01-02T20:00:00Z,160.03
Synthetic,2014-01-02T21:00:00Z,157.45
Synthetic,2014-01-02T22:00:00Z,159.55
Synthetic,2014-01-02T23:00:00Z,41.62
Synthetic,2014-01-03T00:00:00Z,38.94
Synthetic,2014-01-03T01:00:00Z,43.15
Synthetic,2014-01-03T02:00:00Z,46.24
Synthetic,2014-01-03T03:00:00Z,49.16
Synthetic,2014-01-03T04:00:00Z,48.47
Synthetic,2014-01-03T05:00:00Z,54.03
Synthetic,2014-01-03T06:00:00Z,58.42
Synthetic,2014-01-03T07:00:00Z,225.33
Synthetic,2014-01-03T08:00:00Z,187.86
Synthetic,2014-01-03T09:00:00Z,197.21
Synthetic,2014-01-03T10:00:00Z,170.67
Synthetic,2014-01-03T11:00:00Z,162.04
Synthetic,2014-01-03T12:00:00Z,159.19
Synthetic,2014-01-03T13:00:00Z,162.4
Synthetic,2014-01-03T14:00:00Z,153.78
Synthetic,2014-01-03T15:00:00Z,145.11
Synthetic,2014-01-03T16:00:00Z,142.14
Synthetic,2014-01-03T17:00:00Z,154.7
Synthetic,2014-01-03T18:00:00Z,167.86
Synthetic,2014-01-03T19:00:00Z,144.4
Synthetic,2014-01-03T20:00:00Z,146.45
Synthetic,2014-01-03T21:00:00Z,144.77
Synthetic,2014-01-03T22:00:00Z,150.12
Synthetic,2014-01-03T23:00:00Z,41.62
Synthetic,2014-01-04T00:00:00Z,44.68
Synthetic,2014-01-04T01:00:00Z,45.27
Synthetic,2014-01-04T02:00:00Z,52.75
Synthetic,2014-01-04T03:00:00Z,62.87
Synthetic,2014-01-04T04:00:00Z,66.4
Synthetic,2014-01-04T05:00:00Z,69.69
Synthetic,2014-01-04T06:00:00Z,73.19
Synthetic,2014-01-04T07:00:00Z,246.88
Synthetic,2014-01-04T08:00:00Z,192.54
Synthetic,2014-01-04T09:00:00Z,168.48
Synthetic,2014-01-04T10:00:00Z,146.17
Synthetic,2014-01-04T11:00:00Z,136.88
Synthetic,2014-01-04T12:00:00Z,131.23
Synthetic,2014-01-04T13:00:00Z,124.79
Synthetic,2014-01-04T14:00:00Z,118.1
Synthetic,2014-01-04T15:00:00Z,95.11
Synthetic,2014-01-04T16:00:00Z,92.01
Synthetic,2014-01-04T17:00:00Z,104.78
Synthetic,2014-01-04T18:00:00Z,123.46
Synthetic,2014-01-04T19:00:00Z,33.58
Synthetic,2014-01-04T20:00:00Z,33.58
Synthetic,2014-01-04T21:00:00Z,34.82
Synthetic,2014-01-04T22:00:00Z,41.02
Synthetic,2014-01-04T23:00:00Z,41.88
Synthetic,2014-01-05T00:00:00Z,45.6
Synthetic,2014-01-05T01:00:00Z,51.49
Synthetic,2014-01-05T02:00:00Z,61.67
Synthetic,2014-01-05T03:00:00Z,58.87
Synthetic,2014-01-05T04:00:00Z,62.98
Synthetic,2014-01-05T05:00:00Z,52.55
Synthetic,2014-01-05T06:00:00Z,54.69
Synthetic,2014-01-05T07:00:00Z,51.65
Synthetic,2014-01-05T08:00:00Z,53.81
Synthetic,2014-01-05T09:00:00Z,37.53
Synthetic,2014-01-05T10:00:00Z,32.81
Synthetic,2014-01-05T11:00:00Z,26.9
Synthetic,2014-01-05T12:00:00Z,27.19
Synthetic,2014-01-05T13:00:00Z,25.15
Synthetic,2014-01-05T14:00:00Z,25.86
Synthetic,2014-01-05T15:00:00Z,23.71
Synthetic,2014-01-05T16:00:00Z,24.22
Synthetic,2014-01-05T17:00:00Z,28.8
Synthetic,2014-01-05T18:00:00Z,41.8
Synthetic,2014-01-05T19:00:00Z,41.57
Synthetic,2014-01-05T20:00:00Z,44.1
Synthetic,2014-01-05T21:00:00Z,42.84
Synthetic,2014-01-05T22:00:00Z,49.15
Synthetic,2014-01-05T23:00:00Z,46.29
Synthetic,2014-01-06T00:00:00Z,44.78
Synthetic,2014-01-06T01:00:00Z,45.57
Synthetic,2014-01-06T02:00:00Z,44.69
Synthetic,2014-01-06T03:00:00Z,40.33
Synthetic,2014-01-06T04:00:00Z,38.94
Synthetic,2014-01-06T05:00:00Z,38.94
Synthetic,2014-01-06T06:00:00Z,41.62
Synthetic,2014-01-06T07:00:00Z,214.52
Synthetic,2014-01-06T08:00:00Z,176.98
Synthetic,2014-01-06T09:00:00Z,190.42
Synthetic,2014-01-06T10:00:00Z,169.06
Synthetic,2014-01-06T11:00:00Z,158.58
Synthetic,2014-01-06T12:00:00Z,153.24
Synthetic,2014-01-06T13:00:00Z,156.37
Synthetic,2014-01-06T14:00:00Z,147.44
Synthetic,2014-01-06T15:00:00Z,139.4
Synthetic,2014-01-06T16:00:00Z,137.43
Synthetic,2014-01-06T17:00:00Z,147.99
Synthetic,2014-01-06T18:00:00Z,161.09
Synthetic,2014-01-06T19:00:00Z,136.45
Synthetic,2014-01-06T20:00:00Z,137.14
Synthetic,2014-01-06T21:00:00Z,134.19
Synthetic,2014-01-06T22:00:00Z,138.41
Synthetic,2014-01-06T23:00:00Z,41.62
Synthetic,2014-01-07T00:00:00Z,38.94
Synthetic,2014-01-07T01:00:00Z,38.94
Synthetic,2014-01-07T02:00:00Z,38.94
Synthetic,2014-01-07T03:00:00Z,38.94
Synthetic,2014-01-07T04:00:00Z,38.94
Synthetic,2014-01-07T05:00:00Z,38.94
Synthetic,2014-01-07T06:00:00Z,41.62
Synthetic,2014-01-07T07:00:00Z,178.19
Synthetic,2014-01-07T08:00:00Z,155.18
Synthetic,2014-01-07T09:00:00Z,175.88
Synthetic,2014-01-07T10:00:00Z,154.44
Synthetic,2014-01-07T11:00:00Z,148.98
Synthetic,2014-01-07T12:00:00Z,150.18
Synthetic,2014-01-07T13:00:00Z,153.78
Synthetic,2014-01-07T14:00:00Z,149.01
Synthetic,2014-01-07T15:00:00Z,141.93
Synthetic,2014-01-07T16:00:00Z,141.59
Synthetic,2014-01-07T17:00:00Z,155.13
Synthetic,2014-01-07T18:00:00Z,170.23
Synthetic,2014-01-07T19:00:00Z,145.6
